Date,Open,High,Low,Close,Adj Close,Volume
2006-05-18,10.048780,10.146341,9.560975,10.048780,5.875614,187051
2006-05-19,10.048780,10.146341,9.560975,10.048780,5.875614,0
2006-05-22,10.048780,10.146341,9.268292,9.609756,5.618913,293841
2006-05-23,9.512195,9.707317,9.073170,9.658536,5.647435,283509
2006-05-24,10.146341,10.146341,9.414634,9.560975,5.590390,433223
2006-05-25,9.756097,9.756097,9.170731,9.268292,5.419256,383659
2006-05-26,9.463414,9.658536,9.463414,9.560975,5.590390,302770
2006-05-29,9.853658,10.146341,9.609756,10.048780,5.875614,272939
2006-05-30,9.853658,9.951219,9.512195,9.560975,5.590390,104357
2006-05-31,9.463414,9.560975,9.268292,9.560975,5.590390,244732
2006-06-01,9.560975,10.048780,9.512195,9.902439,5.790047,586367
2006-06-02,10.146341,10.341463,10.048780,10.243902,5.989704,258672
2006-06-05,9.853658,10.048780,9.463414,10.048780,5.875614,212923
2006-06-06,9.756097,10.146341,9.560975,9.756097,5.704480,140469
2006-06-07,9.853658,10.146341,9.658536,9.853658,5.761525,181698
2006-06-08,9.853658,9.951219,9.463414,9.463414,5.533345,325809
2006-06-09,9.268292,9.317073,8.731707,8.731707,5.105510,341282
2006-06-12,8.536585,8.780487,8.390243,8.536585,4.991420,194432
2006-06-13,8.195121,8.292682,7.560975,7.853658,4.592107,714045
2006-06-14,8.292682,8.439024,8.048780,8.146341,4.763240,181712
2006-06-15,8.585365,8.975609,8.585365,8.878048,5.191077,298864
2006-06-16,8.975609,9.121951,8.829268,8.975609,5.248121,535574
2006-06-19,8.487804,9.024390,8.487804,8.975609,5.248121,352897
2006-06-20,9.024390,9.073170,8.780487,9.024390,5.276644,405935
2006-06-21,8.975609,9.024390,8.829268,8.878048,5.191077,102547
2006-06-22,9.121951,9.463414,8.975609,9.024390,5.276644,324278
2006-06-23,9.024390,9.219512,9.024390,9.073170,5.305167,77233
2006-06-26,9.170731,9.219512,8.487804,8.926829,5.219599,111186
2006-06-27,8.829268,9.658536,8.829268,8.926829,5.219599,464506
2006-06-28,8.926829,9.170731,8.829268,9.121951,5.333689,880012
2006-06-29,9.121951,9.268292,9.073170,9.121951,5.333689,685526
2006-06-30,9.317073,9.317073,9.024390,9.024390,5.276644,1153641
2006-07-03,8.829268,9.024390,8.829268,8.878048,5.191077,586569
2006-07-04,8.975609,9.024390,8.829268,8.829268,5.162554,543949
2006-07-05,8.878048,8.878048,8.682926,8.731707,5.105510,658788
2006-07-06,8.682926,8.780487,8.536585,8.731707,5.105510,284058
2006-07-07,8.878048,8.975609,8.780487,8.829268,5.162554,419262
2006-07-10,8.780487,8.829268,8.682926,8.731707,5.105510,82346
2006-07-11,8.731707,8.780487,8.634146,8.634146,5.048465,62678
2006-07-12,8.634146,8.634146,8.487804,8.536585,4.991420,451428
2006-07-13,8.439024,8.487804,8.243902,8.243902,4.820286,282531
2006-07-14,8.195121,8.439024,8.195121,8.341463,4.877330,236429
2006-07-17,8.195121,8.341463,8.048780,8.097560,4.734718,356129
2006-07-18,8.097560,8.243902,8.048780,8.195121,4.791763,196305
2006-07-19,8.341463,8.390243,8.195121,8.292682,4.848806,107986
2006-07-20,8.439024,8.536585,8.390243,8.439024,4.934374,353658
2006-07-21,8.243902,8.585365,8.243902,8.487804,4.962897,1289687
2006-07-24,8.487804,8.536585,8.390243,8.439024,4.934374,129651
2006-07-25,8.536585,8.536585,8.390243,8.439024,4.934374,171062
2006-07-26,8.439024,8.585365,8.341463,8.536585,4.991420,1123134
2006-07-27,8.682926,9.121951,8.682926,9.073170,5.305167,1347369
2006-07-28,9.121951,9.170731,9.024390,9.073170,5.305167,355500
2006-07-31,9.121951,9.170731,9.024390,9.073170,5.305167,309791
2006-08-01,9.073170,9.121951,8.975609,9.024390,5.276644,39722
2006-08-02,8.926829,8.975609,8.780487,8.878048,5.191077,95138
2006-08-03,8.926829,8.975609,8.829268,8.926829,5.219599,121369
2006-08-04,8.878048,9.121951,8.878048,9.121951,5.333689,109999
2006-08-07,8.975609,9.219512,8.975609,9.170731,5.362212,253568
2006-08-08,9.219512,9.365853,9.170731,9.268292,5.419256,695440
2006-08-09,9.317073,9.414634,9.121951,9.317073,5.447778,258899
2006-08-10,9.317073,9.560975,9.268292,9.512195,5.561867,423217
2006-08-11,9.609756,9.756097,9.560975,9.560975,5.590390,442439
2006-08-14,9.756097,10.048780,9.707317,9.951219,5.818569,502585
2006-08-15,9.756097,10.048780,9.756097,9.951219,5.818569,325352
2006-08-16,10.048780,10.243902,9.951219,10.048780,5.875614,111323
2006-08-17,10.048780,10.243902,9.658536,9.756097,5.704480,391822
2006-08-18,9.707317,9.756097,9.463414,9.512195,5.561867,123046
2006-08-21,9.512195,9.512195,9.365853,9.463414,5.533345,59356
2006-08-22,9.463414,9.560975,9.365853,9.414634,5.504823,210035
2006-08-23,9.317073,9.463414,9.268292,9.414634,5.504823,74977
2006-08-24,9.219512,9.414634,9.024390,9.219512,5.390734,382494
2006-08-25,9.414634,9.463414,9.317073,9.365853,5.476301,175481
2006-08-28,8.731707,9.414634,8.731707,9.365853,5.476301,55017
2006-08-29,9.414634,9.414634,9.317073,9.365853,5.476301,63995
2006-08-30,9.414634,9.414634,9.317073,9.365853,5.476301,0
2006-08-31,9.317073,9.512195,9.170731,9.219512,5.390734,179955
2006-09-01,9.219512,9.317073,9.121951,9.170731,5.362212,79850
2006-09-04,9.317073,9.365853,9.219512,9.317073,5.447778,147080
2006-09-05,9.365853,9.609756,9.365853,9.463414,5.533345,1546781
2006-09-06,9.365853,9.365853,9.170731,9.219512,5.390734,273780
2006-09-07,9.121951,9.219512,9.024390,9.121951,5.333689,266710
2006-09-08,9.268292,9.268292,9.073170,9.121951,5.333689,284866
2006-09-11,9.121951,9.121951,8.975609,9.024390,5.276644,171982
2006-09-12,9.024390,9.170731,8.975609,9.121951,5.333689,581129
2006-09-13,9.317073,9.414634,9.268292,9.365853,5.476301,542160
2006-09-14,9.317073,9.414634,9.170731,9.170731,5.362212,170947
2006-09-15,9.121951,9.219512,9.073170,9.121951,5.333689,48269
2006-09-18,9.268292,9.317073,9.170731,9.268292,5.419256,371733
2006-09-19,9.219512,9.268292,9.121951,9.170731,5.362212,113402
2006-09-20,9.170731,9.365853,9.121951,9.365853,5.476301,632255
2006-09-21,9.414634,9.463414,9.268292,9.463414,5.533345,613700
2006-09-22,9.073170,9.073170,8.780487,8.926829,5.219599,305333
2006-09-25,8.975609,9.024390,8.926829,8.975609,5.248121,164220
2006-09-26,8.975609,9.170731,8.926829,9.073170,5.305167,229607
2006-09-27,9.414634,9.463414,9.268292,9.365853,5.476301,262214
2006-09-28,9.463414,9.463414,9.317073,9.365853,5.476301,178515
2006-09-29,9.463414,9.463414,9.317073,9.317073,5.447778,20512
2006-10-02,9.219512,9.219512,9.024390,9.170731,5.362212,101745
2006-10-03,9.268292,9.365853,9.219512,9.365853,5.476301,79471
2006-10-04,9.365853,9.365853,9.219512,9.268292,5.419256,71803
2006-10-05,9.317073,9.463414,9.268292,9.414634,5.504823,438012
2006-10-06,9.414634,9.756097,9.414634,9.560975,5.590390,1216481
2006-10-09,9.658536,9.658536,9.658536,9.658536,5.647435,0
2006-10-10,8.975609,8.975609,8.341463,8.439024,4.934374,1456419
2006-10-11,8.439024,8.487804,8.390243,8.487804,4.962897,369123
2006-10-12,8.390243,8.536585,8.341463,8.536585,4.991420,987408
2006-10-13,8.585365,8.731707,8.536585,8.682926,5.076988,1626430
2006-10-16,8.829268,8.878048,8.780487,8.829268,5.162554,555227
2006-10-17,8.780487,8.829268,8.731707,8.780487,5.134032,302917
2006-10-18,8.780487,8.878048,8.780487,8.829268,5.162554,161218
2006-10-19,8.829268,9.121951,8.829268,9.073170,5.305167,504337
2006-10-20,9.073170,9.219512,8.926829,9.024390,5.276644,469633
2006-10-23,8.975609,8.975609,8.975609,8.975609,5.248121,0
2006-10-24,8.975609,8.975609,8.975609,8.975609,5.248121,0
2006-10-25,8.975609,8.975609,8.975609,8.975609,5.248121,0
2006-10-26,9.073170,9.219512,9.073170,9.170731,5.362212,555352
2006-10-27,9.073170,9.121951,9.024390,9.073170,5.305167,102836
2006-10-30,9.073170,9.121951,8.926829,9.073170,5.305167,124983
2006-10-31,9.073170,9.268292,9.073170,9.219512,5.390734,184461
2006-11-01,9.219512,9.219512,8.975609,8.975609,5.248121,500405
2006-11-02,8.780487,8.878048,8.731707,8.829268,5.162554,210002
2006-11-03,8.731707,8.731707,8.487804,8.536585,4.991420,83915
2006-11-06,8.682926,8.731707,8.585365,8.634146,5.048465,537948
2006-11-07,8.731707,8.878048,8.682926,8.731707,5.105510,500157
2006-11-08,8.634146,8.731707,8.585365,8.634146,5.048465,482179
2006-11-09,8.634146,8.682926,8.585365,8.585365,5.019943,299415
2006-11-10,8.585365,8.634146,8.536585,8.585365,5.019943,292770
2006-11-13,8.634146,8.682926,8.487804,8.487804,4.962897,154829
2006-11-14,8.536585,8.585365,8.487804,8.536585,4.991420,261429
2006-11-15,8.634146,8.682926,8.536585,8.585365,5.019943,851127
2006-11-16,8.585365,8.634146,8.487804,8.487804,4.962897,153234
2006-11-17,8.536585,8.585365,8.487804,8.536585,4.991420,266127
2006-11-20,8.439024,8.439024,8.243902,8.341463,4.877330,210320
2006-11-21,8.390243,8.439024,8.292682,8.390243,4.905852,337375
2006-11-22,8.292682,8.341463,8.195121,8.243902,4.820286,723831
2006-11-23,8.292682,8.439024,8.146341,8.390243,4.905852,570647
2006-11-24,8.390243,8.487804,8.146341,8.146341,4.763240,696386
2006-11-27,8.000000,8.097560,7.756097,7.804878,4.563584,790587
2006-11-28,7.707317,7.853658,7.658536,7.707317,4.506539,565451
2006-11-29,7.658536,7.902439,7.658536,7.756097,4.535061,1629850
2006-11-30,7.804878,8.000000,7.804878,7.804878,4.563584,1303027
2006-12-01,7.853658,7.951219,7.804878,7.853658,4.592107,217486
2006-12-04,7.756097,7.853658,7.707317,7.707317,4.506539,289088
2006-12-05,7.756097,7.804878,7.560975,7.658536,4.478017,522940
2006-12-06,7.804878,8.048780,7.756097,7.951219,4.649151,1118518
2006-12-07,7.951219,8.146341,7.951219,8.097560,4.734718,1211308
2006-12-08,8.195121,8.439024,8.097560,8.390243,4.905852,1541650
2006-12-11,8.390243,8.390243,8.243902,8.390243,4.905852,290870
2006-12-12,8.439024,8.439024,8.097560,8.146341,4.763240,493514
2006-12-13,8.097560,8.097560,7.951219,8.000000,4.677674,569535
2006-12-14,8.048780,8.146341,7.902439,8.097560,4.734718,1112382
2006-12-15,8.341463,8.341463,8.146341,8.243902,4.820286,720135
2006-12-18,8.195121,8.292682,8.195121,8.195121,4.791763,234385
2006-12-19,8.195121,8.243902,8.146341,8.146341,4.763240,212033
2006-12-20,8.048780,8.146341,7.902439,7.951219,4.649151,275047
2006-12-21,8.000000,8.048780,7.951219,8.048780,4.706196,73576
2006-12-22,8.000000,8.146341,8.000000,8.048780,4.706196,231748
2006-12-25,8.048780,8.048780,7.951219,8.048780,4.706196,65862
2006-12-26,8.000000,8.048780,7.902439,7.951219,4.649151,179953
2006-12-27,8.000000,8.097560,7.951219,8.048780,4.706196,224867
2006-12-28,8.146341,8.292682,8.146341,8.243902,4.820286,315784
2006-12-29,8.195121,8.243902,8.097560,8.146341,4.763240,190823
2007-01-05,8.487804,8.487804,8.341463,8.390243,4.905852,281996
2007-01-08,8.243902,8.243902,8.097560,8.195121,4.791763,218254
2007-01-09,8.243902,8.341463,8.097560,8.146341,4.763240,290103
2007-01-10,8.146341,8.195121,7.951219,8.000000,4.677674,168092
2007-01-11,8.195121,8.292682,8.195121,8.243902,4.820286,355424
2007-01-12,8.341463,8.682926,8.341463,8.634146,5.048465,939588
2007-01-15,8.682926,8.780487,8.585365,8.731707,5.105510,412923
2007-01-16,8.682926,8.682926,8.487804,8.487804,4.962897,83325
2007-01-17,8.487804,8.731707,8.487804,8.731707,5.105510,316354
2007-01-18,8.731707,8.780487,8.634146,8.634146,5.048465,276459
2007-01-19,8.634146,8.634146,8.439024,8.536585,4.991420,703316
2007-01-22,8.536585,8.634146,8.439024,8.585365,5.019943,930703
2007-01-23,8.536585,8.585365,8.487804,8.487804,4.962897,389920
2007-01-24,8.536585,8.829268,8.536585,8.780487,5.134032,3742152
2007-01-25,8.926829,8.975609,8.829268,8.926829,5.219599,2759978
2007-01-26,8.731707,8.878048,8.682926,8.829268,5.162554,1073447
2007-01-29,8.878048,8.878048,8.731707,8.780487,5.134032,644178
2007-01-31,8.829268,8.829268,8.634146,8.682926,5.076988,549088
2007-02-01,8.731707,8.926829,8.731707,8.829268,5.162554,1322477
2007-02-02,8.975609,9.463414,8.975609,9.463414,5.533345,3447505
2007-02-05,9.560975,9.658536,9.414634,9.463414,5.533345,1102452
2007-02-06,9.609756,9.609756,9.365853,9.463414,5.533345,341155
2007-02-07,9.365853,9.414634,9.219512,9.268292,5.419256,183534
2007-02-08,9.219512,9.414634,9.170731,9.317073,5.447778,435732
2007-02-09,9.414634,9.609756,9.365853,9.560975,5.590390,493889
2007-02-12,9.463414,9.512195,9.365853,9.414634,5.504823,148611
2007-02-13,9.463414,9.512195,9.414634,9.463414,5.533345,230398
2007-02-14,9.756097,9.951219,9.756097,9.951219,5.818569,806877
2007-02-15,10.146341,10.243902,9.951219,9.951219,5.818569,485225
2007-02-16,9.951219,10.048780,9.853658,9.951219,5.818569,90945
2007-02-19,10.048780,10.243902,9.853658,9.951219,5.818569,390465
2007-02-20,9.951219,10.048780,9.756097,9.756097,5.704480,265011
2007-02-21,9.756097,9.804878,9.609756,9.707317,5.675958,113597
2007-02-22,9.707317,9.707317,9.609756,9.707317,5.675958,101738
2007-02-23,9.756097,9.951219,9.609756,9.902439,5.790047,489478
2007-02-26,9.756097,9.951219,9.560975,9.853658,5.761525,354214
2007-02-27,9.560975,9.560975,9.121951,9.170731,5.362212,444201
2007-02-28,9.170731,9.268292,9.121951,9.219512,5.390734,800163
2007-03-01,9.268292,9.365853,9.219512,9.219512,5.390734,506864
2007-03-02,9.121951,9.121951,8.926829,9.073170,5.305167,740985
2007-03-05,8.780487,9.024390,8.780487,8.829268,5.162554,212103
2007-03-06,9.024390,9.121951,8.926829,9.121951,5.333689,297693
2007-03-07,9.219512,9.317073,9.121951,9.121951,5.333689,128779
2007-03-08,9.121951,9.317073,9.073170,9.268292,5.419256,359217
2007-03-09,9.317073,9.317073,9.121951,9.219512,5.390734,84310
2007-03-12,9.317073,9.365853,9.170731,9.170731,5.362212,184215
2007-03-13,9.121951,9.121951,8.975609,9.024390,5.276644,410332
2007-03-14,8.682926,8.731707,8.634146,8.682926,5.076988,206984
2007-03-15,8.829268,8.878048,8.731707,8.829268,5.162554,128559
2007-03-16,8.682926,8.682926,8.536585,8.585365,5.019943,150530
2007-03-19,8.780487,8.829268,8.634146,8.634146,5.048465,117674
2007-03-20,8.878048,9.073170,8.878048,8.975609,5.248121,567107
2007-03-21,8.975609,9.024390,8.926829,8.975609,5.248121,249414
2007-03-22,9.073170,9.170731,8.975609,9.073170,5.305167,343633
2007-03-23,8.926829,9.024390,8.878048,9.024390,5.276644,193552
2007-03-26,8.975609,9.073170,8.926829,9.024390,5.276644,284110
2007-03-27,9.073170,9.121951,9.024390,9.073170,5.305167,660094
2007-03-28,9.024390,9.219512,9.024390,9.219512,5.390734,711086
2007-03-29,9.414634,9.609756,9.219512,9.219512,5.390734,954489
2007-03-30,9.219512,9.268292,9.121951,9.219512,5.390734,286315
2007-04-02,9.170731,9.170731,9.073170,9.073170,5.305167,192109
2007-04-03,9.073170,9.268292,9.073170,9.219512,5.390734,349270
2007-04-04,9.317073,9.414634,9.317073,9.365853,5.476301,692675
2007-04-05,9.317073,9.463414,9.268292,9.463414,5.533345,273379
2007-04-06,9.463414,9.560975,9.414634,9.414634,5.504823,308801
2007-04-09,9.414634,9.463414,9.268292,9.317073,5.447778,88475
2007-04-10,9.365853,9.365853,9.219512,9.219512,5.390734,95348
2007-04-11,9.268292,9.414634,9.219512,9.268292,5.419256,322857
2007-04-12,9.170731,9.268292,9.121951,9.219512,5.390734,85872
2007-04-13,9.268292,9.414634,9.219512,9.317073,5.447778,609963
2007-04-16,9.414634,9.512195,9.317073,9.414634,5.504823,928730
2007-04-17,9.365853,9.414634,9.317073,9.317073,5.447778,187512
2007-04-18,9.365853,9.414634,9.170731,9.317073,5.447778,404681
2007-04-19,9.121951,9.463414,9.073170,9.414634,5.504823,696800
2007-04-20,9.560975,10.341463,9.512195,10.292682,6.018226,3150805
2007-04-23,10.048780,10.048780,10.048780,10.048780,5.875614,0
2007-04-24,10.146341,10.926829,9.365853,10.243902,5.989704,747013
2007-04-25,10.243902,10.536585,10.146341,10.439024,6.103794,172521
2007-04-26,10.536585,10.731707,10.439024,10.439024,6.103794,721258
2007-04-27,10.536585,10.829268,10.341463,10.341463,6.046749,338808
2007-04-30,9.756097,9.756097,9.365853,9.609756,5.618913,1176784
2007-05-02,10.048780,10.048780,9.707317,9.853658,5.761525,472408
2007-05-03,10.146341,10.439024,10.146341,10.341463,6.046749,433994
2007-05-04,10.341463,10.439024,10.048780,10.243902,5.989704,322084
2007-05-07,10.243902,10.243902,10.146341,10.146341,5.932660,92449
2007-05-08,10.048780,10.439024,9.951219,10.048780,5.875614,170019
2007-05-09,10.146341,10.536585,10.146341,10.341463,6.046749,335658
2007-05-10,10.634146,11.219512,10.536585,10.829268,6.331973,749631
2007-05-11,10.829268,11.317073,10.829268,11.024390,6.446062,275996
2007-05-14,11.219512,11.219512,10.731707,11.024390,6.744491,127749
2007-05-15,10.731707,11.121951,10.731707,10.926829,6.684807,167582
2007-05-16,10.926829,11.024390,10.731707,10.829268,6.625120,490822
2007-05-17,11.121951,12.000000,11.121951,11.804878,7.221978,767454
2007-05-18,11.609756,11.609756,11.219512,11.317073,6.923548,486787
2007-05-21,11.317073,11.512195,11.219512,11.219512,6.863862,450634
2007-05-22,11.317073,11.609756,11.317073,11.414634,6.983233,555380
2007-05-23,11.219512,11.414634,11.219512,11.219512,6.863862,490787
2007-05-24,11.121951,11.121951,10.926829,10.926829,6.684807,111177
2007-05-25,10.829268,11.414634,10.829268,10.926829,6.684807,249535
2007-05-28,10.926829,11.219512,10.926829,11.121951,6.804177,81929
2007-05-29,11.121951,11.219512,10.926829,11.024390,6.744491,334051
2007-05-30,11.024390,11.024390,10.829268,10.829268,6.625120,142946
2007-05-31,11.121951,11.121951,10.829268,10.926829,6.684807,153632
2007-06-01,11.121951,11.121951,10.731707,10.829268,6.625120,254709
2007-06-04,10.829268,10.926829,10.731707,10.829268,6.625120,133158
2007-06-05,10.731707,10.926829,10.731707,10.731707,6.565434,65998
2007-06-06,10.634146,10.634146,10.439024,10.536585,6.446063,169328
2007-06-07,10.341463,10.634146,10.341463,10.439024,6.386377,160688
2007-06-08,10.243902,10.439024,10.146341,10.439024,6.386377,79556
2007-06-11,10.731707,10.926829,10.731707,10.731707,6.565434,139586
2007-06-12,10.926829,10.926829,10.536585,10.536585,6.446063,71676
2007-06-13,10.439024,10.536585,10.146341,10.243902,6.267005,102892
2007-06-14,10.439024,10.536585,10.341463,10.439024,6.386377,58852
2007-06-15,10.341463,10.536585,10.243902,10.439024,6.386377,64098
2007-06-18,10.634146,10.634146,10.341463,10.439024,6.386377,128648
2007-06-19,10.439024,10.536585,10.243902,10.536585,6.446063,142716
2007-06-20,10.439024,10.634146,10.439024,10.536585,6.446063,49629
2007-06-21,10.341463,10.439024,10.341463,10.439024,6.386377,34820
2007-06-22,10.439024,10.536585,10.341463,10.439024,6.386377,75221
2007-06-25,10.439024,10.536585,10.341463,10.439024,6.386377,58575
2007-06-26,10.341463,10.341463,10.243902,10.341463,6.326691,72563
2007-06-27,10.243902,10.341463,10.243902,10.243902,6.267005,58067
2007-06-28,10.243902,10.341463,10.146341,10.341463,6.326691,88965
2007-06-29,10.439024,10.536585,10.341463,10.536585,6.446063,87812
2007-07-02,11.024390,11.024390,10.634146,10.926829,6.684807,74621
2007-07-03,11.024390,11.317073,10.926829,11.219512,6.863862,225838
2007-07-04,11.219512,11.804878,11.121951,11.317073,6.923548,374399
2007-07-05,11.317073,11.317073,10.926829,11.121951,6.804177,231891
2007-07-06,11.024390,11.121951,10.926829,11.121951,6.804177,51232
2007-07-09,11.121951,11.317073,10.731707,11.121951,6.804177,413620
2007-07-10,11.024390,11.121951,10.829268,10.926829,6.684807,233984
2007-07-11,10.634146,10.731707,10.536585,10.634146,6.505749,111844
2007-07-12,10.829268,11.219512,10.731707,11.121951,6.804177,523896
2007-07-13,11.414634,11.414634,11.024390,11.121951,6.804177,321474
2007-07-16,11.024390,11.121951,10.731707,10.829268,6.625120,171660
2007-07-17,10.829268,10.829268,10.439024,10.536585,6.446063,165607
2007-07-18,10.536585,10.536585,10.146341,10.243902,6.267005,316705
2007-07-19,10.439024,10.634146,10.439024,10.634146,6.505749,437413
2007-07-20,10.634146,10.731707,10.439024,10.634146,6.505749,319974
2007-07-23,10.926829,11.219512,10.829268,11.121951,6.804177,516939
2007-07-24,11.317073,11.707317,11.317073,11.317073,6.923548,766477
