Date,Open,High,Low,Close,Adj Close,Volume
2006-05-18,0.975757,0.975757,0.940909,0.954848,0.273232,12192756
2006-05-22,0.961818,0.968788,0.947879,0.954848,0.273232,18762287
2006-05-23,0.906060,0.933939,0.878182,0.933939,0.267249,22276305
2006-05-24,0.933939,0.940909,0.906060,0.913030,0.261266,13967266
2006-05-25,0.933939,0.940909,0.920000,0.933939,0.267249,11430751
2006-05-26,0.975757,0.982727,0.961818,0.961818,0.275227,14155854
2006-05-29,0.975757,0.989697,0.968788,0.982727,0.281210,8682332
2006-05-30,0.968788,0.968788,0.920000,0.926970,0.265255,10535762
2006-05-31,0.892121,0.933939,0.885151,0.933939,0.275037,11115005
2006-06-01,0.920000,0.933939,0.906060,0.920000,0.270932,7218101
2006-06-02,0.926970,0.961818,0.926970,0.954848,0.281194,15356150
2006-06-05,0.933939,0.947879,0.913030,0.940909,0.277090,13942129
2006-06-06,0.913030,0.940909,0.913030,0.926970,0.272985,9927221
2006-06-07,0.933939,0.975757,0.926970,0.940909,0.277090,25347312
2006-06-08,0.933939,0.940909,0.920000,0.926970,0.272985,14491837
2006-06-09,0.933939,0.961818,0.913030,0.920000,0.270932,16544788
2006-06-12,0.913030,0.933939,0.913030,0.933939,0.275037,6139504
2006-06-13,0.913030,0.920000,0.878182,0.885151,0.260669,14887715
2006-06-14,0.885151,0.913030,0.885151,0.892121,0.262722,14376373
2006-06-15,0.899091,0.926970,0.899091,0.913030,0.268879,13462653
2006-06-16,0.926970,0.968788,0.926970,0.954848,0.281194,17702262
2006-06-19,0.947879,0.982727,0.940909,0.961818,0.283247,16649039
2006-06-20,0.954848,0.954848,0.940909,0.947879,0.279142,13275386
2006-06-21,0.933939,0.947879,0.913030,0.920000,0.270932,21328524
2006-06-22,0.933939,0.954848,0.926970,0.933939,0.275037,13547858
2006-06-23,0.926970,0.947879,0.926970,0.933939,0.275037,5924050
2006-06-26,0.933939,0.954848,0.913030,0.940909,0.277090,10564889
2006-06-27,0.947879,0.975757,0.947879,0.961818,0.283247,11561847
2006-06-28,0.961818,1.017576,0.961818,1.017576,0.299667,17510382
2006-06-29,1.024545,1.038485,1.003636,1.010606,0.297615,6283097
2006-06-30,1.066364,1.066364,1.045454,1.059394,0.311982,10972029
2006-07-03,1.059394,1.066364,1.045454,1.052424,0.309930,4195862
2006-07-04,1.066364,1.080303,1.045454,1.052424,0.309930,9021379
2006-07-05,1.059394,1.059394,1.010606,1.017576,0.299667,7605837
2006-07-06,0.996667,1.031515,0.989697,1.024545,0.301720,7176148
2006-07-07,1.045454,1.073333,1.038485,1.059394,0.311982,10829771
2006-07-10,1.073333,1.073333,1.052424,1.052424,0.309930,2762486
2006-07-11,1.059394,1.073333,1.052424,1.052424,0.309930,7044191
2006-07-12,1.059394,1.066364,1.038485,1.052424,0.309930,6283499
2006-07-13,1.024545,1.031515,1.010606,1.031515,0.303772,5279151
2006-07-14,1.017576,1.031515,1.010606,1.031515,0.303772,4806326
2006-07-17,1.017576,1.017576,0.975757,0.989697,0.291457,2799410
2006-07-19,0.933939,1.031515,0.933939,1.024545,0.301720,7264703
2006-07-20,1.052424,1.052424,1.031515,1.052424,0.309930,5966276
2006-07-21,1.045454,1.066364,1.031515,1.059394,0.311982,6636010
2006-07-24,1.066364,1.073333,1.052424,1.059394,0.311982,2213165
2006-07-25,1.080303,1.087273,1.052424,1.066364,0.314035,2607192
2006-07-26,1.066364,1.066364,1.052424,1.059394,0.311982,3825781
2006-07-27,1.073333,1.094242,1.073333,1.087273,0.320192,13863266
2006-07-28,1.087273,1.108182,1.059394,1.066364,0.314035,12106770
2006-07-31,1.080303,1.080303,1.052424,1.066364,0.314035,5669390
2006-08-01,1.059394,1.073333,1.059394,1.066364,0.314035,2165272
2006-08-02,1.059394,1.066364,1.045454,1.045454,0.307877,3088368
2006-08-03,1.059394,1.059394,1.038485,1.045454,0.307877,3680359
2006-08-04,1.038485,1.052424,1.031515,1.045454,0.307877,7025094
2006-08-07,1.052424,1.052424,1.031515,1.038485,0.305825,1699348
2006-08-08,1.038485,1.059394,1.038485,1.052424,0.309930,4387951
2006-08-09,1.045454,1.066364,1.031515,1.059394,0.311982,7883962
2006-08-10,1.059394,1.059394,1.038485,1.045454,0.307877,6709650
2006-08-11,1.045454,1.059394,1.038485,1.045454,0.307877,3361586
2006-08-14,1.045454,1.052424,1.038485,1.038485,0.305825,2731409
2006-08-15,1.045454,1.045454,1.038485,1.045454,0.307877,1394959
2006-08-16,1.059394,1.073333,1.052424,1.066364,0.314035,4429265
2006-08-17,1.059394,1.080303,1.045454,1.045454,0.307877,9818350
2006-08-18,1.038485,1.038485,1.024545,1.031515,0.303772,1759674
2006-08-21,1.003636,1.010606,0.982727,1.003636,0.295562,4025324
2006-08-22,1.003636,1.010606,0.982727,0.996667,0.293510,3386860
2006-08-23,0.996667,1.003636,0.989697,0.996667,0.293510,4209622
2006-08-24,0.975757,0.982727,0.968788,0.968788,0.285300,3698079
2006-08-25,0.968788,0.982727,0.961818,0.982727,0.289405,8180876
2006-08-28,0.982727,0.982727,0.968788,0.975757,0.287352,2562284
2006-08-29,0.975757,0.982727,0.968788,0.975757,0.287352,6856343
2006-08-31,0.975757,0.989697,0.968788,0.982727,0.289405,4010876
2006-09-01,0.989697,1.003636,0.982727,0.996667,0.293510,1583913
2006-09-04,1.010606,1.017576,1.003636,1.010606,0.297615,4801713
2006-09-05,1.017576,1.024545,1.010606,1.017576,0.299667,5262443
2006-09-06,1.017576,1.017576,0.996667,0.996667,0.293510,5487094
2006-09-07,0.996667,1.003636,0.982727,0.989697,0.291457,3548510
2006-09-08,0.989697,0.996667,0.975757,0.982727,0.289405,4141649
2006-09-11,0.982727,0.989697,0.968788,0.982727,0.289405,2828529
2006-09-12,0.989697,0.996667,0.975757,0.989697,0.291457,3538301
2006-09-13,1.010606,1.031515,1.003636,1.017576,0.299667,17168904
2006-09-14,1.017576,1.024545,0.996667,0.996667,0.293510,4057664
2006-09-15,0.989697,0.996667,0.982727,0.989697,0.291457,6817919
2006-09-18,1.003636,1.010606,0.996667,1.003636,0.295562,3714485
2006-09-19,1.003636,1.003636,0.989697,0.989697,0.291457,973176
2006-09-20,0.982727,1.003636,0.982727,0.996667,0.293510,3529018
2006-09-21,1.003636,1.010606,0.989697,0.989697,0.291457,10411159
2006-09-22,0.954848,0.961818,0.940909,0.947879,0.279142,6664082
2006-09-25,0.947879,0.954848,0.940909,0.947879,0.279142,4488723
2006-09-26,0.940909,0.947879,0.926970,0.933939,0.275037,2192289
2006-09-27,0.947879,0.961818,0.947879,0.954848,0.281194,4265729
2006-09-28,0.947879,0.954848,0.940909,0.940909,0.277090,5907327
2006-09-29,0.947879,0.968788,0.947879,0.947879,0.279142,3518630
2006-10-02,0.940909,0.940909,0.920000,0.933939,0.275037,1293118
2006-10-03,0.940909,0.947879,0.926970,0.940909,0.277090,2542340
2006-10-04,0.940909,0.968788,0.926970,0.933939,0.275037,12833925
2006-10-05,0.954848,0.975757,0.954848,0.961818,0.283247,10719493
2006-10-06,0.968788,0.975757,0.933939,0.933939,0.275037,7685467
2006-10-10,0.968788,1.003636,0.968788,0.982727,0.289405,19865584
2006-10-11,1.003636,1.003636,0.975757,0.975757,0.287352,4276217
2006-10-12,0.975757,0.996667,0.968788,0.989697,0.291457,3931044
2006-10-13,1.010606,1.010606,0.989697,0.996667,0.293510,11428864
2006-10-16,1.010606,1.038485,1.003636,1.031515,0.303772,19575600
2006-10-17,1.038485,1.059394,1.031515,1.045454,0.307877,12579193
2006-10-18,1.059394,1.101212,1.045454,1.087273,0.320192,17411568
2006-10-19,1.087273,1.129091,1.080303,1.122121,0.330455,17140897
2006-10-20,1.122121,1.150000,1.122121,1.136060,0.334560,10824979
2006-10-26,1.156970,1.156970,1.136060,1.143030,0.336612,5911029
2006-10-27,1.150000,1.156970,1.136060,1.150000,0.338665,14389781
2006-10-30,1.170909,1.170909,1.150000,1.156970,0.340718,4584358
2006-10-31,1.150000,1.170909,1.150000,1.156970,0.340718,10134160
2006-11-01,1.170909,1.184848,1.163939,1.170909,0.344823,6804117
2006-11-02,1.150000,1.170909,1.136060,1.143030,0.336612,7310544
2006-11-03,1.122121,1.136060,1.101212,1.108182,0.326350,3868029
2006-11-06,1.170909,1.177879,1.163939,1.163939,0.342770,3063446
2006-11-07,1.184848,1.212727,1.184848,1.191818,0.350980,5766374
2006-11-08,1.177879,1.198788,1.170909,1.184848,0.348927,5221631
2006-11-09,1.184848,1.205757,1.150000,1.156970,0.340718,9882980
2006-11-10,1.163939,1.170909,1.150000,1.163939,0.342770,3246416
2006-11-13,1.163939,1.177879,1.150000,1.150000,0.338665,1458542
2006-11-14,1.150000,1.184848,1.150000,1.177879,0.346875,3812711
2006-11-15,1.184848,1.198788,1.184848,1.191818,0.350980,14863668
2006-11-16,1.198788,1.205757,1.184848,1.184848,0.348927,4102644
2006-11-17,1.205757,1.205757,1.184848,1.191818,0.350980,6627143
2006-11-20,1.198788,1.205757,1.184848,1.205757,0.355085,3663027
2006-11-21,1.205757,1.205757,1.191818,1.198788,0.353033,5707929
2006-11-22,1.205757,1.212727,1.177879,1.184848,0.348927,6934337
2006-11-23,1.191818,1.212727,1.184848,1.212727,0.357138,6290508
2006-11-24,1.205757,1.205757,1.191818,1.198788,0.353033,2114467
2006-11-27,1.219697,1.233636,1.191818,1.191818,0.350980,6057607
2006-11-28,1.191818,1.205757,1.184848,1.198788,0.353033,1525919
2006-11-29,1.198788,1.212727,1.191818,1.198788,0.353033,4679893
2006-11-30,1.198788,1.212727,1.191818,1.198788,0.353033,2321642
2006-12-01,1.212727,1.226667,1.205757,1.205757,0.355085,6183430
2006-12-04,1.198788,1.212727,1.191818,1.198788,0.353033,2274990
2006-12-05,1.212727,1.212727,1.191818,1.198788,0.353033,1212010
2006-12-06,1.198788,1.240606,1.198788,1.219697,0.359190,5484468
2006-12-07,1.240606,1.254545,1.233636,1.240606,0.365348,2341313
2006-12-08,1.254545,1.254545,1.219697,1.226667,0.361243,2538036
2006-12-11,1.226667,1.233636,1.219697,1.226667,0.361243,1455564
2006-12-12,1.240606,1.254545,1.226667,1.233636,0.363295,2230770
2006-12-13,1.233636,1.233636,1.212727,1.226667,0.361243,1327876
2006-12-14,1.233636,1.233636,1.219697,1.219697,0.359190,532282
2006-12-15,1.240606,1.247576,1.226667,1.233636,0.363295,2472380
2006-12-18,1.226667,1.240606,1.219697,1.226667,0.361243,1610700
2006-12-19,1.226667,1.240606,1.219697,1.233636,0.363295,4484146
2006-12-20,1.233636,1.240606,1.226667,1.233636,0.363295,1339828
2006-12-21,1.233636,1.247576,1.233636,1.240606,0.365348,3040999
2006-12-22,1.247576,1.247576,1.219697,1.226667,0.361243,805608
2006-12-25,1.219697,1.219697,1.170909,1.184848,0.348927,2354290
2006-12-26,1.177879,1.191818,1.163939,1.184848,0.348927,2901007
2006-12-27,1.191818,1.233636,1.184848,1.226667,0.361243,7727758
2006-12-28,1.233636,1.268485,1.233636,1.247576,0.367400,6251101
2006-12-29,1.254545,1.261515,1.226667,1.254545,0.369453,2785593
2007-01-05,1.233636,1.240606,1.212727,1.226667,0.361243,2599444
2007-01-08,1.205757,1.205757,1.184848,1.191818,0.350980,3274065
2007-01-09,1.212727,1.212727,1.191818,1.205757,0.355085,1455808
